GRP,GRP,RW,RW_forecast,Min,Max,Fehler
10.0,10.0,8.245,19.57821610492033,16.37001530192529,23.18818030278252,-11.33321610492033
20.0,20.0,13.684,20.801993450422838,17.67912760584873,24.37949064868798,-7.117993450422839
30.0,30.0,17.075,22.08126253100579,19.255966521626235,25.74797538811309,-5.006262531005792
40.0,40.0,20.15,23.41441421474512,20.230234115699236,26.919406207334273,-3.26441421474512
50.0,50.0,22.756,24.802434155591772,21.774100107922056,28.076666165668193,-2.046434155591772
60.0,60.0,25.416,26.235473497928865,23.40692301785323,29.50626881581916,-0.8194734979288647
70.0,70.0,28.02,27.720788481809098,24.9079020345158,31.159329200785493,0.2992115181909014
80.0,80.0,28.979,29.2422390382344,26.587815246240073,32.56226306890104,-0.2632390382343992
90.0,90.0,33.501,30.81159734200599,27.84151216167346,34.25557330363055,2.689402657994009
100.0,100.0,35.431,32.392876671206835,29.202332058449095,35.59680411935206,3.038123328793162
110.0,110.0,36.689,33.97901423601522,30.896883073224117,37.281013697918524,2.7099857639847826
120.0,120.0,38.204,35.60191898166249,32.524600420955316,39.06221442415314,2.6020810183375076
130.0,130.0,39.71,37.19270845877696,34.327819830193576,40.350229889405334,2.517291541223038
140.0,140.0,41.013,38.81173940465056,35.97246699653913,42.33169980585922,2.2012605953494386
150.0,150.0,42.314,40.364895641247465,37.644533288843085,43.754144068486845,1.9491043587525354
160.0,160.0,43.651,41.937606281270305,39.08314319652549,45.21818356768911,1.713393718729698
170.0,170.0,44.964,43.41356908132923,40.18321018383108,46.657242133910785,1.55043091867077
180.0,180.0,46.152,44.90130642326692,41.940377417799404,48.24208170440222,1.2506935767330845
190.0,190.0,47.94,46.257744401818655,43.336169362050605,49.54071822056557,1.6822555981813423
200.0,200.0,48.836,47.61974449813098,44.80937736273449,50.947943701947246,1.2162555018690213
210.0,210.0,49.463,48.85443257773393,46.060370763600496,52.13662218012195,0.60856742226607
220.0,220.0,51.45,50.09052006788154,47.16707356079544,53.3217127789182,1.359479932118461
230.0,230.0,52.232,51.19379008435772,48.19827484868485,54.68870201289793,1.0382099156422768
240.0,240.0,53.532,52.29589819318835,49.177125238033746,55.729457511642686,1.2361018068116465
250.0,250.0,53.585,53.27381412308896,50.292446169307844,56.42701736383637,0.3111858769110398
260.0,260.0,55.05,54.12949355705209,51.330318663748585,57.641761388207314,0.9205064429479037
270.0,270.0,55.934,54.98274444056276,52.211851094754685,58.26910223915445,0.9512555594372358
280.0,280.0,56.582,55.7478682377801,52.64013240094527,59.05858579202872,0.8341317622199043
290.0,290.0,56.912,56.510273768167444,53.498062896670014,59.727948907936174,0.40172623183255496
300.0,300.0,57.511,57.19891758433113,54.390067396448856,60.34170215259665,0.3120824156688755
310.0,310.0,58.186,57.88478367950021,54.98284321089003,60.99561528528382,0.3012163204997904
320.0,320.0,59.594,58.50407437933115,55.61589392771455,61.70461750115855,1.0899256206688506
330.0,330.0,60.208,59.12068976743467,56.40385839190562,62.435458404059275,1.0873102325653292
340.0,340.0,60.463,59.684816408525634,56.61249642367977,62.91058275021406,0.7781835914743667
350.0,350.0,60.831,60.24639284884136,57.45126120512122,63.56535278622661,0.584607151158643
360.0,360.0,61.002,60.76083867690756,57.92889970943767,63.95738429375551,0.24116132309244165
370.0,370.0,61.387,61.272906570754365,58.445902719704414,64.65212708043731,0.11409342924563504
380.0,380.0,62.258,61.74887322426374,59.05064543355385,65.10330097589252,0.509126775736263
390.0,390.0,62.654,62.2225967478898,59.194026700471824,65.43106681294245,0.4314032521102007
400.0,400.0,63.173,62.66603961391042,60.08762468776408,65.90278444343087,0.506960386089581
410.0,410.0,63.418,63.08326918225122,60.36978147897613,66.50045130334634,0.33473081774877755
420.0,420.0,64.024,63.49855192160009,60.701980466213875,66.72809196034873,0.5254480783999114
430.0,430.0,64.186,63.8917086489727,61.048766373239296,67.15806729474788,0.2942913510273044
440.0,440.0,64.778,64.28301263749955,61.47453635139426,67.55262929922552,0.49498736250045283
